,Unnamed: 0,Unnamed: 1,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Totals.16,Unnamed: 19,Shooting,Shooting.1,Shooting.2,Unnamed: 23,Advanced,Advanced.1,Advanced.2,Advanced.3,Advanced.4,Unnamed: 29,Per Game,Per Game.1,Per Game.2,Per Game.3
0,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
1,,Total,74,74,2732,727,1559,240,686,531,622,78,649,342,78,51,213,160,2225,,.466,.350,.854,,.607,32.9,118,111,+8.4,,36.9,30.1,8.8,4.6
2,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
3,Place,Home,36,36,1321,372,768,119,332,277,324,37,315,155,43,23,94,82,1140,,.484,.358,.855,,.626,33.2,122,110,+13.0,,36.7,31.7,8.8,4.3
4,,Road,38,38,1411,355,791,121,354,254,298,41,334,187,35,28,119,78,1085,,.449,.342,.852,,.588,32.6,114,113,+4.1,,37.1,28.6,8.8,4.9
5,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
6,All-Star,Pre,55,55,2051,547,1178,183,512,408,472,57,473,250,57,43,159,120,1685,,.464,.357,.864,,.608,33.1,118,111,+9.5,,37.3,30.6,8.6,4.5
7,,Post,19,19,681,180,381,57,174,123,150,21,176,92,21,8,54,40,540,,.472,.328,.820,,.604,32.4,118,112,+5.2,,35.9,28.4,9.3,4.8
8,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
9,Result,Win,52,52,1882,544,1123,188,500,389,455,53,459,230,58,39,139,113,1665,,.484,.376,.855,,.629,34.1,123,109,+17.0,,36.2,32.0,8.8,4.4
10,,Loss,22,22,850,183,436,52,186,142,167,25,190,112,20,12,74,47,560,,.420,.280,.850,,.550,30.1,106,117,-10.6,,38.6,25.5,8.6,5.1
11,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
12,Month,October,6,6,218,64,115,20,49,37,41,3,44,21,5,6,15,10,185,,.557,.408,.902,,.695,30.8,129,117,+1.6,,36.4,30.8,7.3,3.5
13,,November,15,15,552,152,328,54,153,121,140,16,120,73,14,18,33,35,479,,.463,.353,.864,,.615,33.7,123,111,+16.7,,36.8,31.9,8.0,4.9
14,,December,13,13,486,131,290,39,117,90,108,19,113,43,20,6,42,28,391,,.452,.333,.833,,.579,33.5,111,109,+5.7,,37.4,30.1,8.7,3.3
15,,January,14,14,542,138,311,44,129,118,132,15,142,75,12,6,48,32,438,,.444,.341,.894,,.593,33.5,116,112,+5.9,,38.7,31.3,10.1,5.4
16,,February,10,10,368,84,194,33,93,54,65,12,86,60,9,9,34,18,255,,.433,.355,.831,,.573,31.7,113,112,+6.4,,36.8,25.5,8.6,6.0
17,,March,14,14,509,144,289,48,132,101,122,11,135,60,15,6,36,33,437,,.498,.364,.828,,.638,32.6,122,110,+8.9,,36.3,31.2,9.6,4.3
18,,April,2,2,58,14,32,2,13,10,14,2,9,10,3,0,5,4,40,,.438,.154,.714,,.524,33.4,110,112,+8.7,,28.9,20.0,4.5,5.0
19,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
20,Day,Sunday,6,6,222,54,118,18,52,48,56,4,47,24,12,2,24,9,174,,.458,.346,.857,,.610,33.3,112,109,+7.9,,37.1,29.0,7.8,4.0
21,,Monday,13,13,487,130,284,44,131,81,92,13,107,65,11,8,34,28,385,,.458,.336,.880,,.593,32.6,116,114,+6.4,,37.4,29.6,8.2,5.0
22,,Tuesday,8,8,292,90,173,23,67,55,68,4,72,38,7,4,26,16,258,,.520,.343,.809,,.636,34.6,119,114,+0.7,,36.4,32.3,9.0,4.8
23,,Wednesday,14,14,494,142,287,54,127,95,114,17,120,69,16,12,34,25,433,,.495,.425,.833,,.642,33.3,126,108,+18.6,,35.3,30.9,8.6,4.9
24,,Thursday,7,7,273,67,166,24,71,60,66,11,89,34,7,6,21,14,218,,.404,.338,.909,,.559,33.7,117,106,+9.6,,39.0,31.1,12.7,4.9
25,,Friday,16,16,579,146,312,35,128,139,160,18,130,71,17,8,48,44,466,,.468,.273,.869,,.609,32.2,119,111,+7.5,,36.2,29.1,8.1,4.4
26,,Saturday,10,10,386,98,219,42,110,53,66,11,84,41,8,11,26,24,291,,.447,.382,.803,,.587,31.8,112,116,+4.7,,38.6,29.1,8.4,4.1
27,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
28,Role,Starter,74,74,2732,727,1559,240,686,531,622,78,649,342,78,51,213,160,2225,,.466,.350,.854,,.607,32.9,118,111,+8.4,,36.9,30.1,8.8,4.6
29,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
30,Minutes,40+,14,14,603,147,341,51,149,134,149,25,151,70,15,12,55,30,479,,.431,.342,.899,,.589,32.9,115,113,+2.7,,43.0,34.2,10.8,5.0
31,,30-39,55,55,1994,529,1125,170,488,383,455,51,474,256,56,37,147,122,1611,,.470,.348,.842,,.608,32.7,118,112,+7.0,,36.3,29.3,8.6,4.7
32,,20-29,4,4,116,44,81,19,44,7,9,1,21,12,7,2,8,6,114,,.543,.432,.778,,.671,35.4,124,97,+52.3,,28.9,28.5,5.3,3.0
33,,10-19,1,1,20,7,12,0,5,7,9,1,3,4,0,0,3,2,21,,.583,.000,.778,,.658,41.8,125,114,+52.9,,19.9,21.0,3.0,4.0
34,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
35,Rest,0 Days,9,9,350,94,188,39,88,62,73,7,82,39,7,9,27,24,289,,.500,.443,.849,,.656,31.3,123,111,+5.5,,38.9,32.1,9.1,4.3
36,,1 Day,42,42,1548,392,880,129,386,327,377,46,370,194,40,26,115,93,1240,,.445,.334,.867,,.593,33.0,117,111,+9.6,,36.9,29.5,8.8,4.6
37,,2 Days,15,15,534,156,325,45,138,96,116,18,131,68,19,10,49,28,453,,.480,.326,.828,,.602,34.8,115,109,+9.1,,35.6,30.2,8.7,4.5
38,,3+ Days,8,8,300,85,166,27,74,46,56,7,66,41,12,6,22,15,243,,.512,.365,.821,,.637,30.9,126,118,+4.2,,37.5,30.4,8.3,5.1
39,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
40,Conference,Eastern,45,45,1656,468,954,163,428,292,333,52,396,222,43,33,134,98,1391,,.491,.381,.877,,.632,33.1,122,112,+9.6,,36.8,30.9,8.8,4.9
41,,Western,29,29,1076,259,605,77,258,239,289,26,253,120,35,18,79,62,834,,.428,.298,.827,,.570,32.6,113,110,+6.6,,37.1,28.8,8.7,4.1
42,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
43,Division,Atlantic,14,14,517,127,282,40,124,59,71,19,134,71,16,11,50,28,353,,.450,.323,.831,,.563,31.7,110,110,+7.2,,36.9,25.2,9.6,5.1
44,,Central,16,16,598,178,352,66,154,132,148,19,139,83,15,11,44,35,554,,.506,.429,.892,,.664,33.7,129,113,+7.7,,37.4,34.6,8.7,5.2
45,,Northwest,10,10,355,85,181,22,78,91,108,8,84,36,15,5,26,26,283,,.470,.282,.843,,.619,30.4,120,113,+1.9,,35.5,28.3,8.4,3.6
46,,Pacific,10,10,385,91,224,29,92,75,93,11,95,38,14,4,33,22,286,,.406,.315,.806,,.540,33.8,104,108,+5.8,,38.5,28.6,9.5,3.8
47,,Southeast,15,15,541,163,320,57,150,101,114,14,123,68,12,11,40,35,484,,.509,.380,.886,,.654,33.7,124,113,+14.0,,36.1,32.3,8.2,4.5
48,,Southwest,9,9,336,83,200,26,88,73,88,7,74,46,6,9,20,14,265,,.415,.295,.830,,.555,33.6,115,110,+12.5,,37.4,29.4,8.2,5.1
49,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
50,Opponent,Atlanta,2,2,68,18,44,8,24,9,10,1,22,14,1,2,3,6,53,,.409,.333,.900,,.548,33.6,116,109,+27.9,,34.2,26.5,11.0,7.0
51,,Brooklyn,4,4,143,39,83,12,35,12,12,4,44,15,7,4,17,9,102,,.470,.343,1.000,,.578,33.0,105,99,+14.2,,35.7,25.5,11.0,3.8
52,,Chicago,4,4,149,35,81,15,39,37,41,4,39,25,2,1,7,9,122,,.432,.385,.902,,.616,30.9,126,115,+1.3,,37.3,30.5,9.8,6.3
53,,Charlotte,4,4,144,55,99,20,50,30,32,4,25,18,3,4,9,8,160,,.556,.400,.938,,.707,37.1,137,115,+29.6,,36.0,40.0,6.3,4.5
54,,Cleveland,3,3,121,32,61,9,22,26,30,6,30,18,2,5,13,5,99,,.525,.409,.867,,.667,33.0,121,114,-9.0,,40.3,33.0,10.0,6.0
55,,Dallas,2,2,72,19,46,4,15,24,27,5,27,15,1,4,4,3,66,,.413,.267,.889,,.570,38.7,127,101,+20.4,,36.1,33.0,13.5,7.5
56,,Denver,2,2,73,18,37,2,11,21,25,0,15,11,2,0,6,5,59,,.486,.182,.840,,.615,32.7,121,122,+2.0,,36.4,29.5,7.5,5.5
57,,Detroit,4,4,146,50,96,21,44,25,29,4,31,21,2,3,11,13,146,,.521,.477,.862,,.671,36.8,128,111,+13.5,,36.5,36.5,7.8,5.3
58,,Golden State,2,2,88,15,48,6,22,16,19,3,26,8,6,1,9,4,52,,.313,.273,.842,,.461,30.3,92,106,-3.1,,43.9,26.0,13.0,4.0
59,,Houston,2,2,75,20,47,8,26,12,12,0,16,10,2,1,6,3,60,,.426,.308,1.000,,.574,33.8,110,109,+6.6,,37.6,30.0,8.0,5.0
60,,Indiana,3,3,115,35,74,10,32,26,30,4,24,13,6,2,12,4,106,,.473,.313,.867,,.608,34.9,121,113,+7.9,,38.4,35.3,8.0,4.3
61,,LA Clippers,2,2,72,17,46,5,19,10,14,3,22,5,1,1,5,5,49,,.370,.263,.714,,.470,35.3,93,114,-15.5,,36.2,24.5,11.0,2.5
62,,LA Lakers,2,2,91,23,54,8,20,20,22,3,20,10,2,2,10,4,74,,.426,.400,.909,,.581,36.0,109,110,+8.1,,45.6,37.0,10.0,5.0
63,,Memphis,2,2,78,15,41,4,19,21,28,0,10,5,2,4,5,2,55,,.366,.211,.750,,.516,33.0,103,109,+13.9,,38.8,27.5,5.0,2.5
64,,Miami,4,4,157,39,83,12,31,33,39,6,42,17,3,2,15,12,123,,.470,.387,.846,,.614,33.2,116,110,+8.0,,39.2,30.8,10.5,4.3
65,,Milwaukee,2,2,67,26,40,11,17,18,18,1,15,6,3,0,1,4,81,,.650,.647,1.000,,.845,32.8,167,107,+38.4,,33.3,40.5,7.5,3.0
66,,Minnesota,2,2,72,14,38,1,14,23,27,3,20,7,3,1,5,8,52,,.368,.071,.852,,.521,32.0,110,105,+5.6,,36.0,26.0,10.0,3.5
67,,New Orleans,2,2,75,16,40,5,18,13,16,2,17,14,1,0,3,3,50,,.400,.278,.813,,.531,28.9,123,118,+14.6,,37.7,25.0,8.5,7.0
68,,New York,4,4,165,38,91,15,46,24,26,6,36,24,3,3,12,9,115,,.418,.326,.923,,.561,30.7,114,117,+1.2,,41.3,28.8,9.0,6.0
69,,Oklahoma City,2,2,68,18,40,3,16,15,17,2,16,3,3,3,5,4,54,,.450,.188,.882,,.569,30.5,108,120,-14.7,,34.2,27.0,8.0,1.5
70,,Orlando,3,3,113,32,60,10,28,23,27,3,21,11,4,2,6,5,97,,.533,.357,.852,,.675,30.3,131,118,+0.9,,37.8,32.3,7.0,3.7
71,,Philadelphia,4,4,150,32,72,8,28,12,19,5,39,25,5,3,14,6,84,,.444,.286,.632,,.523,29.6,106,113,-1.4,,37.6,21.0,9.8,6.3
72,,Phoenix,2,2,67,12,34,6,18,15,18,0,11,7,2,0,5,5,45,,.353,.333,.833,,.537,30.4,101,104,+19.1,,33.5,22.5,5.5,3.5
73,,Portland,2,2,67,19,37,8,21,18,22,2,19,6,4,0,8,2,64,,.514,.381,.818,,.686,34.4,123,100,+22.7,,33.6,32.0,9.5,3.0
74,,Sacramento,2,2,66,24,42,4,13,14,20,2,16,8,3,0,4,4,66,,.571,.308,.700,,.650,37.3,127,108,+24.8,,33.2,33.0,8.0,4.0
75,,San Antonio,1,1,36,13,26,5,10,3,5,0,4,2,0,0,2,3,34,,.500,.500,.600,,.603,34.4,109,115,+2.5,,36.0,34.0,4.0,2.0
76,,Toronto,2,2,59,18,36,5,15,11,14,4,15,7,1,1,7,4,52,,.500,.333,.786,,.617,36.6,117,111,+26.2,,29.3,26.0,7.5,3.5
77,,Utah,2,2,74,16,29,8,16,14,17,1,14,9,3,1,2,7,54,,.552,.500,.824,,.740,22.7,144,115,-3.9,,37.2,27.0,7.0,4.5
78,,Washington,2,2,59,19,34,7,17,6,6,0,13,8,1,1,7,4,51,,.559,.412,1.000,,.696,33.5,113,114,0.0,,29.6,25.5,6.5,4.0
