,Unnamed: 0,Unnamed: 1,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Totals.16,Unnamed: 19,Shooting,Shooting.1,Shooting.2,Unnamed: 23,Advanced,Advanced.1,Advanced.2,Advanced.3,Advanced.4,Unnamed: 29,Per Game,Per Game.1,Per Game.2,Per Game.3
33,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
34,Rest,0 Days,13,13,474,125,273,44,121,75,81,11,98,59,12,7,41,32,369,,.458,.364,.926,,.598,33.3,116,114,+10.8,,36.4,28.4,7.5,4.5
35,,1 Day,44,44,1550,400,883,122,360,211,258,53,350,193,36,30,119,98,1133,,.453,.339,.818,,.568,32.1,112,106,+13.0,,35.2,25.8,8.0,4.4
36,,2 Days,12,12,453,120,260,40,104,81,94,12,102,49,21,8,39,33,361,,.462,.385,.862,,.599,33.3,111,104,+7.7,,37.7,30.1,8.5,4.1
37,,3+ Days,7,7,255,63,148,24,66,33,36,9,59,33,6,4,18,11,183,,.426,.364,.917,,.558,30.4,112,108,+18.0,,36.5,26.1,8.4,4.7
38,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
39,Conference,Eastern,49,49,1767,424,1009,135,413,250,298,60,395,222,50,34,145,116,1233,,.420,.327,.839,,.541,32.3,107,107,+10.2,,36.1,25.2,8.1,4.5
40,,Western,27,27,964,284,555,95,238,150,171,25,214,112,25,15,72,58,813,,.512,.399,.877,,.645,32.4,122,109,+15.9,,35.7,30.1,7.9,4.1
41,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
42,Division,Atlantic,15,15,526,119,288,44,128,75,88,19,126,70,12,9,47,35,357,,.413,.344,.852,,.546,31.5,107,108,+8.9,,35.1,23.8,8.4,4.7
43,,Central,17,17,628,147,365,45,147,91,107,19,134,68,20,14,53,34,430,,.403,.306,.850,,.522,33.1,104,110,+8.7,,37.0,25.3,7.9,4.0
44,,Northwest,9,9,314,91,174,34,83,62,69,4,61,48,7,5,22,16,278,,.523,.410,.899,,.680,32.6,131,117,+20.8,,34.9,30.9,6.8,5.3
45,,Pacific,8,8,282,86,167,32,72,41,49,8,65,30,8,5,25,19,245,,.515,.444,.837,,.650,32.7,120,106,+14.9,,35.2,30.6,8.1,3.8
46,,Southeast,17,17,613,158,356,46,138,84,103,22,135,84,18,11,45,47,446,,.444,.333,.816,,.556,32.2,110,103,+12.9,,36.0,26.2,7.9,4.9
47,,Southwest,10,10,368,107,214,29,83,47,53,13,88,34,10,5,25,23,290,,.500,.349,.887,,.611,32.0,116,103,+12.6,,36.8,29.0,8.8,3.4
48,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
49,Opponent,Atlanta,4,4,153,42,91,14,40,27,30,7,33,19,3,5,13,10,125,,.462,.350,.900,,.600,34.3,117,108,-0.7,,38.2,31.3,8.3,4.8
50,,Brooklyn,4,4,133,37,77,15,39,29,36,7,25,14,3,1,11,7,118,,.481,.385,.806,,.636,33.6,122,115,+11.9,,33.4,29.5,6.3,3.5
51,,Chicago,3,3,107,21,64,3,17,14,17,5,26,15,4,3,7,6,59,,.328,.176,.824,,.413,32.0,96,116,+4.3,,35.6,19.7,8.7,5.0
52,,Charlotte,4,4,147,41,87,13,35,21,22,2,24,23,6,2,10,15,116,,.471,.371,.955,,.600,31.6,117,111,+14.0,,36.8,29.0,6.0,5.8
53,,Cleveland,3,3,108,21,61,5,24,15,16,2,21,12,3,3,10,8,62,,.344,.208,.938,,.456,33.0,91,100,+16.2,,35.8,20.7,7.0,4.0
54,,Dallas,2,2,80,19,42,9,18,6,7,5,22,6,2,1,6,4,53,,.452,.500,.857,,.588,29.1,110,107,+5.3,,39.8,26.5,11.0,3.0
55,,Denver,2,2,70,19,36,7,18,9,10,2,12,12,4,0,7,4,54,,.528,.389,.900,,.668,30.6,124,106,+22.9,,34.8,27.0,6.0,6.0
56,,Detroit,4,4,144,37,84,12,33,17,20,3,32,18,4,1,11,6,103,,.440,.364,.850,,.555,32.5,108,108,+11.7,,36.0,25.8,8.0,4.5
57,,Golden State,2,2,79,15,35,6,18,17,18,0,20,10,2,0,5,5,53,,.429,.333,.944,,.617,27.8,123,104,+12.9,,39.4,26.5,10.0,5.0
58,,Houston,2,2,71,22,46,5,20,12,13,0,15,5,2,1,2,7,61,,.478,.250,.923,,.590,33.2,118,95,+18.5,,35.3,30.5,7.5,2.5
59,,Indiana,4,4,151,35,86,9,37,33,37,5,30,14,4,3,15,9,112,,.407,.243,.892,,.548,34.8,108,114,+2.0,,37.7,28.0,7.5,3.5
60,,LA Clippers,1,1,36,9,20,2,7,9,10,1,10,2,2,1,6,4,29,,.450,.286,.900,,.594,34.1,103,107,-5.2,,36.5,29.0,10.0,2.0
61,,LA Lakers,2,2,67,26,48,9,16,10,12,3,19,5,4,2,6,5,71,,.542,.563,.833,,.666,37.6,122,108,+1.5,,33.7,35.5,9.5,2.5
62,,Memphis,2,2,65,25,39,8,15,10,11,1,15,8,1,1,11,4,68,,.641,.533,.909,,.776,35.8,124,111,+35.5,,32.5,34.0,7.5,4.0
63,,Miami,3,3,100,19,45,5,17,10,14,2,25,13,3,0,7,9,53,,.422,.294,.714,,.518,25.9,104,95,+13.9,,33.4,17.7,8.3,4.3
64,,Milwaukee,3,3,119,33,70,16,36,12,17,4,25,9,5,4,10,5,94,,.471,.444,.706,,.607,32.6,114,110,+10.6,,39.8,31.3,8.3,3.0
65,,Minnesota,1,1,34,12,21,5,11,5,5,0,5,6,1,1,3,1,34,,.571,.455,1.000,,.733,34.1,140,114,+48.9,,33.7,34.0,5.0,6.0
66,,New Orleans,2,2,75,26,44,4,17,9,11,1,16,10,4,0,4,4,65,,.591,.235,.818,,.665,33.3,125,97,+21.9,,37.6,32.5,8.0,5.0
67,,New York,4,4,150,34,89,14,47,18,19,7,29,16,4,2,10,9,100,,.382,.298,.947,,.514,32.3,106,112,+3.8,,37.6,25.0,7.3,4.0
68,,Oklahoma City,2,2,73,22,41,11,23,14,16,0,15,11,2,2,4,3,69,,.537,.478,.875,,.718,32.8,137,116,+23.3,,36.3,34.5,7.5,5.5
69,,Orlando,2,2,69,10,34,3,14,6,10,4,15,10,2,2,6,2,29,,.294,.214,.600,,.378,28.1,84,86,+31.3,,34.7,14.5,7.5,5.0
70,,Philadelphia,4,4,138,30,68,9,26,22,24,4,48,19,3,4,15,11,91,,.441,.346,.917,,.579,31.4,108,99,+11.2,,34.4,22.8,12.0,4.8
71,,Phoenix,1,1,34,10,25,1,7,3,6,2,7,3,0,1,4,2,24,,.400,.143,.500,,.434,38.8,86,119,-12.9,,33.6,24.0,7.0,3.0
72,,Portland,2,2,72,17,36,4,12,20,24,1,20,11,0,0,6,5,58,,.472,.333,.833,,.623,33.1,124,120,+13.5,,35.8,29.0,10.0,5.5
73,,Sacramento,2,2,65,26,39,14,24,2,3,2,9,10,0,1,4,3,68,,.667,.583,.667,,.843,29.5,153,98,+58.2,,32.6,34.0,4.5,5.0
74,,San Antonio,2,2,78,15,43,3,13,10,11,6,20,5,1,2,2,4,43,,.349,.231,.909,,.449,29.2,101,107,-14.5,,38.8,21.5,10.0,2.5
75,,Toronto,3,3,105,18,54,6,16,6,9,1,24,21,2,2,11,8,48,,.333,.375,.667,,.414,27.9,87,103,+9.1,,34.9,16.0,8.0,7.0
76,,Utah,2,2,67,21,40,7,19,14,14,1,9,8,0,2,2,3,63,,.525,.368,1.000,,.682,33.4,136,130,+8.4,,33.4,31.5,4.5,4.0
77,,Washington,4,4,144,46,99,11,32,20,27,7,38,19,4,2,9,11,123,,.465,.344,.741,,.555,37.0,110,102,+16.1,,35.9,30.8,9.5,4.8
