,Unnamed: 0,Unnamed: 1,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Totals.16,Unnamed: 19,Shooting,Shooting.1,Shooting.2,Unnamed: 23,Advanced,Advanced.1,Advanced.2,Advanced.3,Advanced.4,Unnamed: 29,Per Game,Per Game.1,Per Game.2,Per Game.3
0,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
1,,Total,76,76,2731,708,1564,230,651,400,469,85,609,334,75,49,217,174,2046,,.453,.353,.853,,.578,32.3,112,107,+12.2,,35.9,26.9,8.0,4.4
2,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
3,Place,Home,38,38,1381,350,788,97,314,205,246,48,292,163,34,22,104,87,1002,,.444,.309,.833,,.559,32.1,111,109,+10.2,,36.4,26.4,7.7,4.3
4,,Road,38,38,1350,358,776,133,337,195,223,37,317,171,41,27,113,87,1044,,.461,.395,.874,,.597,32.6,114,106,+14.3,,35.5,27.5,8.3,4.5
5,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
6,All-Star,Pre,56,56,2020,500,1153,154,468,285,336,67,469,233,55,40,162,130,1439,,.434,.329,.848,,.553,32.1,108,106,+9.8,,36.1,25.7,8.4,4.2
7,,Post,20,20,711,208,411,76,183,115,133,18,140,101,20,9,55,44,607,,.506,.415,.865,,.646,32.9,124,111,+19.2,,35.5,30.4,7.0,5.1
8,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
9,Result,Win,49,49,1718,483,1007,174,438,255,297,43,393,226,49,29,119,104,1395,,.480,.397,.859,,.613,32.7,120,103,+24.5,,35.1,28.5,8.0,4.6
10,,Loss,27,27,1013,225,557,56,213,145,172,42,216,108,26,20,98,70,651,,.404,.263,.843,,.514,31.8,99,115,-8.4,,37.5,24.1,8.0,4.0
11,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
12,Month,October,6,6,235,60,150,15,55,25,32,8,55,23,4,6,17,19,160,,.400,.273,.781,,.488,33.3,96,110,+1.0,,39.1,26.7,9.2,3.8
13,,November,15,15,534,121,308,41,122,67,83,17,124,55,16,11,39,36,350,,.393,.336,.807,,.508,31.8,102,104,+5.9,,35.6,23.3,8.3,3.7
14,,December,12,12,442,114,250,36,103,71,83,12,106,46,14,9,38,29,335,,.456,.350,.855,,.585,32.2,111,112,+2.6,,36.8,27.9,8.8,3.8
15,,January,15,15,541,140,301,42,126,83,94,19,123,69,11,10,48,34,405,,.465,.333,.883,,.591,32.8,114,106,+15.4,,36.0,27.0,8.2,4.6
16,,February,11,11,377,90,207,30,92,59,67,14,84,53,13,5,27,20,269,,.435,.326,.881,,.569,30.8,115,103,+19.0,,34.3,24.5,7.6,4.8
17,,March,13,13,480,148,275,55,123,76,84,11,86,64,11,5,38,30,427,,.538,.447,.905,,.684,32.9,128,111,+20.8,,36.9,32.8,6.6,4.9
18,,April,4,4,123,35,73,11,30,19,26,4,31,24,6,3,10,6,100,,.479,.367,.731,,.592,33.6,120,106,+28.8,,30.6,25.0,7.8,6.0
19,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
20,Day,Sunday,12,12,421,124,257,51,119,60,71,18,92,62,10,5,33,28,359,,.482,.429,.845,,.623,33.6,121,107,+22.2,,35.1,29.9,7.7,5.2
21,,Monday,10,10,374,94,204,25,78,67,77,8,78,44,12,6,30,22,280,,.461,.321,.870,,.589,31.8,113,106,+14.0,,37.4,28.0,7.8,4.4
22,,Tuesday,5,5,161,55,98,21,45,19,24,7,37,26,2,4,9,9,150,,.561,.467,.792,,.691,32.6,136,100,+31.4,,32.1,30.0,7.4,5.2
23,,Wednesday,19,19,683,148,368,43,153,102,121,20,153,81,24,14,59,48,441,,.402,.281,.843,,.523,31.3,102,106,+5.2,,36.0,23.2,8.1,4.3
24,,Thursday,4,4,143,39,79,14,32,21,24,3,27,20,4,2,13,10,113,,.494,.438,.875,,.631,32.7,121,108,+20.7,,35.7,28.3,6.8,5.0
25,,Friday,15,15,542,143,317,40,127,77,91,19,122,61,12,10,40,29,403,,.451,.315,.846,,.564,31.9,113,113,+4.6,,36.1,26.9,8.1,4.1
26,,Saturday,11,11,407,105,241,36,97,54,61,10,100,40,11,8,33,28,300,,.436,.371,.885,,.560,33.6,108,108,+12.0,,37.0,27.3,9.1,3.6
27,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
28,Role,Starter,76,76,2731,708,1564,230,651,400,469,85,609,334,75,49,217,174,2046,,.453,.353,.853,,.578,32.3,112,107,+12.2,,35.9,26.9,8.0,4.4
29,Split,Value,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,&nbsp,FG%,3P%,FT%,&nbsp,TS%,USG%,ORtg,DRtg,+/-,&nbsp,MP,PTS,TRB,AST
30,Minutes,40+,12,12,501,118,301,34,115,83,96,26,124,46,6,9,37,32,353,,.392,.296,.865,,.514,33.2,105,110,+7.3,,41.8,29.4,10.3,3.8
31,,30-39,56,56,2002,527,1141,169,479,291,341,54,430,261,62,36,166,128,1514,,.462,.353,.853,,.586,32.3,113,108,+10.6,,35.8,27.0,7.7,4.7
32,,20-29,8,8,228,63,122,27,57,26,32,5,55,27,7,4,14,14,179,,.516,.474,.813,,.658,30.4,127,95,+38.5,,28.4,22.4,6.9,3.4
